,train_acc,val_acc,test_acc
MUTAG,0.8266666666666667,0.7368421052631579,0.8421052631578947
BZR,0.8333333333333334,0.825,0.7560975609756098
COX2,0.806970509383378,0.7446808510638298,0.7446808510638298
DHFR,0.609271523178808,0.618421052631579,0.6052631578947368
PTC_MR,0.6218181818181818,0.5,0.4857142857142857
AIDS,0.995625,0.995,0.995
NCI1,0.7560827250608273,0.7834549878345499,0.7566909975669099
ENZYMES,0.3875,0.3,0.48333333333333334
DD,0.8895966029723992,0.711864406779661,0.7372881355932204
PROTEINS,0.7685393258426966,0.8018018018018018,0.6875
